ISO3,distance__km
ABW,7677.4868970011585
AFG,5594.223376940109
AGO,6478.953877303544
AIA,6710.883702059914
ALB,1603.9445348527308
AND,708.2136606010847
ARE,5251.803241963836
ARG,11025.34799356743
ARM,3439.396932479335
ASM,16117.69890937777
ATA,16705.41193844129
ATF,12671.143344440747
ATG,6711.070955370653
AUS,16957.684336079685
AUT,1036.7114004480852
AZE,3822.7230353697973
BDI,6350.316271174833
BEL,264.60080812869603
BEN,4709.4560981009745
BES,7583.5399409936135
BFA,4061.6761610508725
BGD,7924.215031921057
BGR,1761.6849969741404
BHR,4838.499796992673
BHS,7219.128523627164
BIH,1348.4531278314862
BLM,6721.43792440286
BLR,1832.0669974189811
BLZ,8602.730299172486
BMU,5757.850395913444
BOL,9804.137957333975
BRA,9377.800449457269
BRB,6879.395369613275
BTN,7574.056248916798
BWA,8472.241688871876
CAF,5165.367179057849
CAN,6016.729397683407
CCK,11345.038446448209
CHE,490.3051572409417
CHL,11626.95186243354
CHN,9283.668374515079
CIV,4644.913553646133
CMR,5014.662851395174
COD,5786.761153256044
COG,6017.566942049669
COK,16554.083286190387
COL,8632.231621548903
COM,7817.387361880737
CPV,4441.018222520986
CRI,8924.32332785928
CUB,7732.601394877667
CUW,7635.610050777584
CXR,11850.242480304856
CYM,7965.822157261811
CYP,2954.9723393618233
CZE,884.6712765539082
DEU,880.6348377313325
DJI,5585.295234625765
DMA,6825.451889558955
DNK,1028.8752414519106
DOM,7195.9455700082835
DZA,1345.4603968407353
ECU,9626.173815941751
EGY,3211.8949539918885
ERI,4986.363651159112
ESH,2755.8059817863746
ESP,1052.5193707454782
EST,1863.3928714983922
ETH,5566.295818992482
FIN,1913.222367440467
FJI,16579.284152489432
FRA,0.0
FRO,1570.805234048759
FSM,13097.735678242061
GAB,5413.107943438781
GBR,344.13671929477795
GEO,3380.409410958308
GGY,362.5124729818626
GHA,4804.996217372761
GIB,1545.1971064136665
GIN,4608.603754100458
GLP,6754.874561481289
GMB,4315.300487218583
GNB,4424.558078798376
GNQ,5255.33132345169
GRC,2098.682094076777
GRD,7119.029943524089
GRL,3593.213334312094
GTM,9003.536192645128
GUF,7074.181338838301
GUM,12175.737944354156
GUY,7308.347595567112
HKG,9645.855847801404
HND,8810.996301715875
HRV,1082.3513824490028
HTI,7365.019670570502
HUN,1247.8958636969792
IDN,11587.344997234257
IMN,755.8020720385865
IND,7018.087215148726
IOT,9200.575793533853
IRL,780.8404814026247
IRN,4219.837255194875
IRQ,3866.519023484467
ISL,2235.750568645041
ISR,3336.150736956765
ITA,1108.287142354286
JAM,7735.035941673804
JEY,327.82078614423426
JOR,3371.450997700971
JPN,9736.095008358807
KAZ,5569.873427410249
KEN,6468.625814574675
KGZ,5435.402046927498
KHM,9950.10088477859
KIR,14371.435419590618
KNA,6760.803027213363
KWT,4441.3334467908035
LBN,3195.4009530870703
LBR,4877.000396989705
LBY,1991.1849799422446
LCA,6905.087769993497
LIE,565.9736774150008
LKA,8517.073453724008
LSO,9011.89679816866
LTU,1701.1031542717733
LUX,287.97218619742904
LVA,1707.6146626873615
MAC,9614.59290609614
MAR,1886.0599155519433
MCO,689.8624402473888
MDA,1981.3780593544298
MDG,8737.570231045007
MDV,8287.078263367535
MEX,9210.212311690935
MHL,13715.440154828751
MKD,1670.2480314397362
MLI,4126.408657899785
MLT,1746.3879029865366
MMR,8892.671881101749
MNE,1494.1820074858388
MNG,7068.194245593833
MNP,12046.788579361662
MOZ,8815.865950120251
MRT,3791.8545831060383
MSR,6763.90970960698
MTQ,6859.478864925175
MUS,9391.70520092697
MWI,7617.569433856038
MYS,10218.080770299972
MYT,8023.120464679938
NAM,8043.870642879994
NCL,16741.0553095273
NER,3918.8489300815945
NFK,17491.37779223539
NGA,4700.791411696972
NIC,8901.602440580886
NIU,16627.49877110643
NLD,430.8868174186738
NOR,1344.0193753201456
NPL,7250.639414944126
NRU,14449.414351687688
NZL,18540.082536547026
OMN,5617.317855327824
PAK,6138.327507388379
PAN,8667.068170887462
PCN,15137.857421335966
PER,10244.71938525178
PHL,10757.788048423186
PLW,12240.06463987384
PNG,14554.184607952126
POL,1370.8779205492156
PRI,6913.874949740097
PRT,1453.6080678409203
PRY,10140.875441201679
PSE,3336.2335521943032
PYF,15715.091495813282
QAT,4978.412082450285
REU,9344.065814815627
ROU,1875.5273121178693
RUS,2493.9222564177
RWA,6230.8553751410245
SAU,4686.61814600551
SDN,4601.5848682553105
SEN,4198.491690942898
SGP,10741.602367173547
SGS,11996.93489224741
SHN,7219.9053519137415
SJM,3319.8152932053927
SLB,15164.47642282469
SLE,4706.993622913998
SLV,8986.492433418054
SMR,948.3460083036493
SOM,6605.304029337531
SPM,4279.251160288279
SRB,1449.5750798258675
SSD,5606.139603474133
STP,5392.539591627174
SUR,7183.4474998233845
SVK,1091.7075319028338
SVN,966.948441554383
SWE,1547.1465704204825
SWZ,8831.640817289363
SYC,7832.678016742318
SYR,3149.9856775892586
TCA,7046.796039558088
TCD,4240.1927726454
TGO,4735.8691833990215
THA,9454.494023739886
TJK,5300.768490334115
TKL,15509.648726262065
TKM,4587.014681902099
TLS,13117.527550429584
TON,16921.49704366895
TTO,7218.511268686407
TUN,1479.887273518289
TUR,2258.5375380039864
TUV,15523.57561023456
TWN,9846.953400131317
TZA,7138.574821661231
UGA,6108.9163051316145
UKR,2029.9641440004818
URY,10936.072797490044
USA,5852.736948253714
UZB,5161.588379370048
VCT,6989.955338047891
VEN,7619.687246310053
VNM,10132.814459785912
VUT,16329.381981006914
WLF,16057.156431811689
WSM,16083.468551459067
YEM,5311.607947329707
ZAF,9306.63852993811
ZMB,7565.182929193103
ZWE,7914.128381404803
